what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1469438837873
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1469438849944
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438874779
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1469438874805
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438880318
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438885983
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.aboutAction",1469438885996
error,log,,,"Unable to load the repository http://pydev.sf.net/updates/",1469438891471
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438891521
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438893937
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1469438893948
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438894539
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438895647
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1469438895702
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1469438895958
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1469438895958
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1469438895959
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1469438895959
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,"org.eclipse.jst.server.generic.oc4j",1469438895959
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1469438895959
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1469438895959
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.505.v20090529,"org.eclipse.jst.server.generic.core",1469438895959
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1469438895959
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1469438895959
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1469438895959
